Customer_ID,Customer_Name,Customer_Segment,Maritial_Status,Gender,DOB,Country,Region,State_Province,City,Postal_Code
1354,Mr. AARON Dillon,Consumer,Single,Male,05-02-1997,U.S.A,Central,Texas,Weatherford,76086
697,Mister. Adam G Sawyer,Corporate,Married,Male,05-02-1997,USA,Central,Indiana,East Chicago,46312
674,Mr AlBERT FROST,Small Business,Divorced,Male,06-02-1993,USA,Central,Missouri,Raytown,64133
188,Mrs. ALEX harrell,Corporate,Single,Male,05-02-1997,United States Of America,Central,Texas,Gainesville,76240
188,Mrs. ALEX harrell,Corporate,Single,Male,05-02-1997,United States Of America,Central,Texas,Gainesville,76240
3106,Mistress. AleXander O'Brien,Home Office,Married,Male,05-02-1996,US,Central,Texas,Houston,77041
597,Mr. AlexandrA WISE,Small Business,Divorced,Male,05-02-1998,United States Of America,Central,Indiana,Columbus,47201
2108,Mr. Alfred Barber,Corporate,Single,Male,05-02-1998,US,Central,Missouri,Mehlville,63129
539,Miss. Alice Coley,Small Business,Married,Female,05-02-1998,US,Central,Illinois,Urbana,61801
1484,Dr. Alison Stewart,Home Office,Divorced,Male,05-02-1995,United States Of America,Central,Illinois,Des Plaines,60016
667,Professor Allison Kirby,Corporate,Married,Male,07-12-1994,US,Central,Texas,Dallas,75203
796,Prof. Amanda Conner,Corporate,Married,Female,05-02-1996,USA,Central,Nebraska,Papillion,68046
669,Prof. Amy Shea,Home Office,Married,Female,05-02-1992,U.S,Central,Iowa,Ottumwa,52501
3397,Prof. Andrea Shaw,Small Business,Married,Male,05-02-1993,US,Central,Illinois,Danville,61832
3046,Doctor. Andrew Pearce,Small Business,Married,Male,07-12-1995,U.S.A,Central,Kansas,Leawood,66209
3132,Professor Anita Kang,Corporate,Married,Female,09-12-1990,USA,Central,Illinois,Mundelein,60060
2896,Doctor. Anna Ellis,Home Office,Married,Female,05-02-1990,USA,Central,Minnesota,Mankato,56001
1254,Professor Anne Bland,Home Office,Married,Female,05-02-1991,U.S,Central,Texas,Channelview,77530
2851,Dr. Annie Sherrill,Consumer,Married,Female,06-02-1991,U.S,Central,Texas,Odessa,79762
3001,Dr. Anthony Foley,Consumer,Married,Male,07-02-1991,US,Central,Michigan,Port Huron,48060
1238,Professor April Bowers,Corporate,Married,Male,11-12-1990,U.S.A,Central,Texas,Cedar Hill,75104
1360,Professor Arlene Gibbons,Consumer,Married,Male,08-12-1990,United States Of America,Central,Iowa,Muscatine,52761
2422,Doctor. Arlene Wiggins Dalton,Home Office,Married,Male,05-02-1993,US,Central,Texas,Huntsville,77340
688,Prof. Ashley Reese,Small Business,Married,Male,05-02-1993,US,Central,Missouri,Saint Louis,63116
2715,Doctor. Becky Farmer,Corporate,Single,Male,07-02-1993,U.S.A,Central,Michigan,Lansing,48911
1131,Prof. Benjamin Strauss,Home Office,Single,Male,07-02-1995,U.S,Central,Texas,El Paso,79907
2892,Professor Benjamin Porter,Consumer,Single,Male,08-12-1994,U.S,Central,Michigan,Livonia,48154
759,Doctor. Bernice F Day,Small Business,Single,Male,09-02-1995,US,Central,Illinois,Quincy,62301
1416,Doctor. Betsy Gibson,Small Business,Single,Female,05-02-1992,US,Central,Indiana,Indianapolis,46203
2630,Doctor. Betsy Puckett,Small Business,Single,Female,05-02-1992,USA,Central,Oklahoma,Norman,73071
2897,Dr. Betty Giles,Home Office,Single,Female,05-02-1990,United States Of America,Central,Minnesota,Maple Grove,55369
890,Dr. Billie Fowler,Consumer,Single,Female,05-02-1990,United States Of America,Central,Texas,Bedford,76021
3327,Professor Bob Gibson,Small Business,Single,Male,05-02-1990,US,Central,Michigan,Port Huron,48060
2206,Doctor. Bobby Powell,Consumer,Single,Male,05-02-1990,US,Central,Iowa,Fort Dodge,50501
2266,Professor Brandon Beach,Corporate,Single,Male,05-02-1990,U.S.A,Central,Missouri,Kirkwood,63122
2619,Professor Brandon E Shepherd,Corporate,Single,Male,05-02-1990,U.S,Central,South Dakota,Sioux Falls,57103
250,Mistress Brenda Nelson Blanchard,Corporate,Single,Male,05-02-1990,U.S.A,Central,Minnesota,Richfield,55423
326,Miss. Brenda May,Consumer,Single,Male,06-02-1990,U.S.A,Central,Illinois,Batavia,60510
2272,Prof. Brett Ingram,Corporate,Single,Male,08-02-1990,USA,Central,Texas,Harker Heights,76543
672,Doctor. Brian Leach,Small Business,Single,Male,05-02-1990,U.S.A,Central,Iowa,Newton,50208
1419,Professor Brooke Lancaster,Small Business,Single,Male,08-12-1989,U.S.A,Central,Indiana,Lafayette,47905
408,Mr. Calvin Parsons Walter,Corporate,Single,Male,07-02-1991,United States Of America,Central,Texas,San Juan,78589
2668,Professor Carlos Hanson,Home Office,Divorced,Male,05-02-1991,US,Central,South Dakota,Rapid City,57701
1136,Professor Carmen McPherson,Consumer,Single,Male,06-02-1990,United States Of America,Central,Illinois,Carol Stream,60188
915,Prof. Carol Sherrill,Home Office,Single,Male,08-12-1989,U.S,Central,Texas,Bryan,77803
2718,Dr. Caroline Stone,Consumer,Divorced,Male,06-02-1991,USA,Central,Illinois,Lansing,60438
1967,Prof. Carolyn Hoffman,Small Business,Single,Male,06-02-1990,U.S,Central,Iowa,Clinton,52732
2862,Prof. Carrie High,Corporate,Divorced,Male,08-12-1989,USA,Central,Nebraska,La Vista,68128
3041,Dr. Carrie Duke,Corporate,Divorced,Male,05-02-1990,United States Of America,Central,Kansas,Garden City,67846
2014,Prof. Cathy Simon,Home Office,Single,Male,05-02-1991,US,Central,Iowa,Council Bluffs,51503
594,Professor Charlie Moore,Consumer,Single,Male,07-12-1990,U.S.A,Central,Indiana,Anderson,46016
1776,Dr. Charlotte Patterson,Consumer,Single,Male,05-02-1989,USA,Central,Indiana,Terre Haute,47802
2796,Professor Cindy McLeod,Corporate,Divorced,Female,06-02-1990,USA,Central,Iowa,Sioux City,51106
1080,Prof. Colleen Fletcher,Corporate,Single,Female,07-02-1990,USA,Central,Illinois,Saint Charles,60174
2794,Doctor. Connie Bunn,Corporate,Divorced,Female,05-02-1990,U.S,Central,Iowa,Marshalltown,50158
1405,Prof. Crystal Floyd,Home Office,Single,Male,05-02-1990,United States Of America,Central,Michigan,Battle Creek,49017
865,Professor Dana Burgess,Corporate,Single,Male,05-02-1990,U.S,Central,Indiana,East Chicago,46312
3360,Dr. Daniel Huff,Home Office,Widowed,Male,08-02-1991,USA,Central,Wisconsin,West Allis,53214
381,Miss. Danielle Watts,Corporate,Single,Male,08-02-1990,US,Central,Illinois,Bloomington,61701
1265,Prof. Danielle Kramer,Home Office,Single,Male,07-02-1990,U.S.A,Central,Oklahoma,Altus,73521
1816,Dr. Danielle Schneider,Consumer,Single,Male,07-02-1990,U.S.A,Central,Michigan,Canton,48187
2628,Prof. Danielle P Rao,Corporate,Single,Male,06-02-1990,U.S.A,Central,Oklahoma,Moore,73160
2201,Doctor. David Hoyle,Small Business,Single,Male,09-12-1989,U.S,Central,Minnesota,Bloomington,55420
2791,Prof. Dawn Larson,Corporate,Single,Male,07-02-1993,US,Central,Michigan,Madison Heights,48071
1211,Dr. Debra Proctor,Corporate,Single,Male,07-02-1990,U.S.A,Central,Indiana,Fort Wayne,46806
