Customer ID,Customer Name,Customer_Segment,Maritial_Status,Gender,DOB,Country,Region,State or Province,City,Postal Code
2638,Doctor. ALICIA WoOd ShaH,Consumer,Married,Female,02-05-1998,U.S.A,West,Idaho,Boise,83704
2745,Doctor. Arnold GAY,Corporate,Married,Male,12-09-1992,US,West,Arizona,Chandler,85224
357,Doctor. bArBAra McNamara,Corporate,Single,Female,12-08-1992,U.S.A,West,Arizona,Kingman,86401
3264,Doctor. Becky Puckett,Corporate,Single,Male,02-09-1993,U.S.A,West,California,Eureka,95501
617,Doctor. brett sCHultz,Consumer,Single,Male,02-05-1990,U.S,West,Colorado,Pueblo,81001
1391,Doctor. Carolyn Greer,Small Business,Single,Male,02-05-1990,U.S,West,California,Sunnyvale,94086
2803,Doctor. Catherine Dorsey Burnett,Small Business,Divorced,Male,02-05-1990,United States Of America,West,California,East Los Angeles,90022
820,Doctor. Catherine Mullins,Small Business,Single,Male,02-06-1990,United States Of America,West,Washington,Walla Walla,99362
3064,Doctor. Clarence Crowder,Consumer,Divorced,Female,02-06-1990,US,West,Washington,Lacey,98503
2355,Doctor. Clyde Burnett,Consumer,Single,Female,12-07-1989,U.S,West,California,Coachella,92236
1723,Doctor. Constance Flowers,Corporate,Single,Female,02-05-1992,United States,West,California,San Diego,92037
1989,Doctor. David Weaver,Home Office,Single,Male,02-05-1993,United States Of America,West,Utah,Holladay,84117
549,Doctor. Dennis Boykin Townsend,Corporate,Single,Male,02-06-1990,United States,West,New Mexico,Roswell,88201
3325,Doctor. Diane Barr,Consumer,Widowed,Male,02-05-1992,U.S,West,Oregon,Coos Bay,97420
922,Doctor. Dolores Abrams,Small Business,Single,Male,02-06-1992,U.S,West,California,Rancho Cucamonga,91730
1189,Doctor. Dwight Stephenson,Consumer,Single,Male,12-07-1990,US,West,California,Huntington Beach,92646
1374,Doctor. Earl Buck,Home Office,Single,Male,02-07-1991,U.S.A,West,California,Stockton,95207
485,Doctor. Edward Leonard,Corporate,Single,Male,02-05-1989,US,West,California,Fresno,93727
259,Doctor. Edward Pugh,Consumer,Single,Male,02-05-1991,United States Of America,West,New Mexico,Santa Fe,87505
880,Doctor. Ellen Beck,Small Business,Single,Male,02-05-1992,U.S.A,West,Arizona,Scottsdale,85254
3209,Doctor. Elsie Floyd,Corporate,Married,Male,02-05-1993,United States,West,California,Beverly Hills,90210
949,Doctor. Ernest Oh,Consumer,Single,Male,02-05-1991,US,West,California,Los Angeles,90049
993,Doctor. Gail Currin,Small Business,Single,Male,02-05-1993,United States Of America,West,California,Oxnard,93030
308,Doctor. Glen Caldwell,Small Business,Single,Male,02-05-1992,United States,West,Washington,Seattle,98115
1425,Doctor. Gregory Crane,Small Business,Single,Male,02-05-1989,US,West,Colorado,Fort Collins,80525
1280,Doctor. Harold Albright,Corporate,Single,Male,02-05-1991,United States Of America,West,Washington,Seattle,98119
3149,Doctor. Harriet Moore,Corporate,Married,Male,12-07-1988,United States Of America,West,Idaho,Rexburg,83440
851,Doctor. Helen H Heller,Corporate,Single,Male,02-05-1994,United States,West,California,Hacienda Heights,91745
3393,Doctor. Irene Murphy,Consumer,Married,Male,02-05-1992,United States Of America,West,Washington,Pullman,99163
699,Doctor. Jenny Gold,Consumer,Single,Male,02-05-1998,United States,West,California,Los Angeles,90041
1609,Doctor. Jerry Ennis,Consumer,Single,Male,02-05-1992,United States Of America,West,California,Sacramento,95823
744,Doctor. Joy Maxwell,Consumer,Single,Female,02-05-1993,U.S.A,West,Arizona,Oro Valley,85737
451,Doctor. Joyce Murray,Home Office,Single,Female,02-05-1994,U.S,West,California,Los Altos,94024
1956,Doctor. Justin Frank,Consumer,Single,Female,02-05-1995,US,West,Colorado,Louisville,80027
570,Doctor. Katharine Bass,Consumer,Single,Female,02-05-1995,U.S.A,West,Nevada,Henderson,89015
1054,Doctor. Keith R Atkinson,Corporate,Single,Female,02-05-1994,United States,West,Arizona,Surprise,85374
680,Doctor. Laurence Poe,Corporate,Single,Female,02-05-1991,United States Of America,West,Washington,Spokane,99207
1782,Doctor. Lawrence Dennis,Home Office,Single,Female,02-05-1991,U.S.A,West,California,San Clemente,92672
2962,Doctor. Leonard Strauss,Consumer,Single,Female,02-05-1989,U.S.A,West,Colorado,Louisville,80027
2037,Doctor. Lynda Herman,Small Business,Single,Female,02-05-1988,United States,West,Montana,Bozeman,59715
2495,Doctor. Maria Block,Consumer,Single,Female,02-05-1995,United States Of America,West,Wyoming,Rock Springs,82901
2141,Doctor. Molly Webster,Home Office,Single,Female,02-05-1996,U.S.A,West,Colorado,Durango,81301
640,Doctor. Neal Wolfe,Consumer,Single,Female,02-05-1995,US,West,Washington,Seattle,98119
757,Doctor. Neil Hogan,Home Office,Single,Female,02-05-1986,U.S,West,Oregon,Tualatin,97062
1869,Doctor. Roberta Daniel,Consumer,Single,Female,12-07-1994,U.S,West,New Mexico,Alamogordo,88310
1117,Doctor. Samantha Koch,Home Office,Single,Female,02-05-1996,U.S.A,West,Arizona,Tucson,85705
3354,Doctor. Sara Faulkner,Corporate,Single,Female,02-05-1993,US,West,California,Calexico,92231
782,Doctor. Sarah N Becker,Small Business,Single,Female,02-05-1995,US,West,California,Whittier,90604
236,Doctor. Shawn McIntyre,Corporate,Single,Female,02-05-1992,US,West,Colorado,Louisville,80027
1307,Doctor. Teresa Hill,Small Business,Single,Female,02-05-1992,United States,West,Oregon,Coos Bay,97420
3006,Doctor. Thomas Spence,Corporate,Single,Female,02-05-1996,U.S,West,Idaho,Idaho Falls,83402
2431,Doctor. Troy Cassidy,Consumer,Single,Female,02-05-1994,US,West,California,Los Angeles,90004
2855,Doctor. Vicki Womble,Consumer,Single,Female,02-05-1989,United States,West,Washington,Des Moines,98198
2548,Doctor. Wayne Bass,Small Business,Single,Female,02-05-1990,United States,West,California,Los Angeles,90068
181,Doctor. Wesley Waller,Corporate,Single,Female,02-05-1994,U.S,West,California,San Francisco,94122
2670,Doctor. Yvonne Mann,Home Office,Single,Female,02-05-1995,U.S,West,California,Los Angeles,90049
1155,Dr. Alex Nicholson,Consumer,Married,Male,02-05-1997,US,West,Colorado,Grand Junction,81503
3063,Dr. Ann Steele,Consumer,Married,Female,02-05-1991,United States Of America,West,Washington,Kirkland,98034
1988,Dr. Anna Burgess,Home Office,Married,Female,12-07-1990,United States,West,Utah,Draper,84020
526,Dr. April Hu,Home Office,Married,Male,02-05-1991,U.S.A,West,Arizona,Mesa,85204
353,Dr. Bonnie Chambers,Home Office,Single,Male,02-05-1990,U.S,West,Arizona,Glendale,85301
2652,Dr. Brenda Ross,Consumer,Single,Male,02-06-1990,US,West,California,Bakersfield,93309
254,Dr. Brett Hawkins,Home Office,Single,Male,12-09-1989,United States,West,Colorado,Highlands Ranch,80126
638,Dr. Brooke Shepherd,Consumer,Single,Male,02-05-1990,United States Of America,West,California,Santa Cruz,95062
800,Dr. Cheryl Guthrie,Consumer,Single,Male,02-05-1991,United States,West,Utah,Roy,84067
1305,Dr. Chris Pritchard,Consumer,Single,Male,12-07-1990,U.S.A,West,Utah,West Valley City,84120
2006,Dr. Cynthia Khan,Home Office,Single,Male,02-06-1990,U.S.A,West,Colorado,Durango,81301
3206,Dr. Dana Rankin,Consumer,Widowed,Male,02-05-1991,U.S.A,West,Idaho,Twin Falls,83301
463,Dr. Debbie Stevenson,Small Business,Single,Male,02-05-1992,United States Of America,West,California,West Hollywood,90069
771,Dr. Deborah Paul,Small Business,Single,Male,02-05-1990,United States Of America,West,Oregon,West Linn,97068
