Customer ID,Customer Name,Customer_Segment,Maritial_Status,Gender,DOB,Country,State or Province,City,Postal Code
1907,Doctor. Amy Hall,Corporate,Married,Female,02-06-1998,US,Ohio,Lorain,44052
2618,Doctor. Amy Hamrick Melvin,Corporate,Married,Female,02-05-1996,US,New York,New York City,10004
460,Doctor. Anne Armstrong,Home Office,Married,Female,02-06-1991,U.S,New Jersey,Millville,8332
3012,Doctor. Annie Livingston,Corporate,Married,Female,02-05-1991,US,New York,Rochester,14609
331,Doctor. Bradley Pollock,Home Office,Single,Male,02-09-1992,United States,New Hampshire,Goffstown,3045
2162,Doctor. Brenda Jain,Corporate,Single,Male,02-05-1990,U.S,Pennsylvania,Sharon,16146
142,Doctor. Brooke Weeks Taylor,Small Business,Single,Male,02-06-1990,US,Connecticut,Ansonia,6401
398,Doctor. Bruce Stark,Corporate,Single,Male,12-09-1989,United States,Ohio,Dayton,45406
929,Doctor. Calvin Conway,Small Business,Single,Male,12-08-1990,United States,New Jersey,Old Bridge,8857
2797,Doctor. Cameron Kendall,Corporate,Divorced,Male,02-05-1990,United States,Pennsylvania,Pittsburgh,15122
3386,Doctor. Carmen Elmore,Corporate,Divorced,Male,12-07-1989,U.S,Ohio,Bowling Green,43402
1595,Doctor. Chad Henson,Corporate,Single,Male,02-05-1991,United States,West Virginia,Huntington,25705
3306,Doctor. Claire Warren,Small Business,Divorced,Female,02-07-1990,U.S,Connecticut,New London,6320
1840,Doctor. Clifford Webb,Home Office,Single,Female,02-07-1991,United States,Massachusetts,Townsend,1469
1471,Doctor. Danielle Daniel,Home Office,Single,Male,02-06-1990,U.S,Ohio,Westerville,43081
3139,Doctor. David Powell,Home Office,Widowed,Male,12-10-1989,US,New Jersey,Cranford,7016
2276,Doctor. Dennis Block Richardson,Consumer,Single,Male,02-11-1990,U.S,New York,Niagara Falls,14304
1709,Doctor. Dennis Bowen,Small Business,Single,Male,02-05-1990,U.S,Pennsylvania,Pottstown,19464
1156,Doctor. Edith Forbes,Consumer,Single,Male,02-05-1991,U.S,Massachusetts,Tewksbury,1876
1227,Doctor. Elsie Hwang,Small Business,Single,Male,12-07-1988,U.S,Vermont,South Burlington,5403
2020,Doctor. Erika Jordan,Home Office,Single,Male,12-07-1989,United States,Pennsylvania,Plum,15239
1680,Doctor. Esther Whitaker,Consumer,Single,Male,12-07-1991,United States,Ohio,Fairfield,45014
2760,Doctor. Evan Adkins,Corporate,Single,Male,02-05-1990,US,Connecticut,Waterbury,6708
2351,Doctor. Faye Silver,Corporate,Single,Male,02-05-1993,US,Maryland,Crofton,21114
1202,Doctor. Faye Wolf,Consumer,Single,Male,02-05-1989,United States,New Jersey,South Orange,7079
210,Doctor. Floyd Dale,Home Office,Single,Male,02-05-1994,United States,New York,Troy,12180
2963,Doctor. Frances Johnson,Consumer,Married,Male,02-05-1989,U.S,Maryland,Middle River,21220
975,Doctor. Francis Evans,Corporate,Single,Male,02-05-1992,U.S,Massachusetts,Boston,2108
